Company,Last Review,In Contract,Renewal Date,Monthly Spend,Locations,$/Location,Responsiveness,Tier
"Vibe Organic Juice Bar",2026-03-23,Y,2026-02-22,288,1,288.00,Yes,Tier 3
"Zorba's Pizza Grill",2026-03-06,N,,200,1,200.00,Yes,Tier 3
"Pizza Machine",2026-03-03,Y,2026-09-10,190,1,190.00,Yes,Tier 3
"Fox's Pizza Den (Roaring Springs)",2026-03-02,N,,140,1,140.00,Sometimes,Tier 3
"Salerno Pizza",2026-02-24,Y,2026-07-10,592,1,592.00,Yes,Tier 1
"Bambino's Pizza & Subs",2026-02-18,N,,99,2,49.50,Yes,Tier 3
"Fox's Pizza Den | Greg Scampone",2026-02-18,Y,2026-04-04,706,,,Yes,Tier 1
"Neo Pizza",2026-02-18,N,,381,1,381.00,Yes,Tier 2
"Mule Barn/Lonesome Spur",2026-02-12,Y,2026-05-30,407.84,,,Yes,Tier 2
"Romeos Pizza Rootstown",2026-02-12,N,,99,1,99.00,Sometimes,Tier 3
"Italian Gardens",2026-02-06,N,,604,1,604.00,Yes,Tier 1
"Rock n Roll Sushi Jonesboro",2026-02-04,N,,99,1,99.00,Yes,Tier 3
"Fox's Pizza Den | Sidney Fritz",2026-02-04,N,,213,1,213.00,Yes,Tier 3
"Boludo",2026-02-03,N,,475,3,158.33,Yes,Tier 2
"Baby Jakes Pizza",2026-01-05,Y,2026-04-16,1179.55,1,1179.55,Yes,Tier 1
"The Original PJ's Pizza",2025-12-18,Y,2026-06-18,1275.27,3,425.09,Sometimes,Tier 1
"Fox's Pizza Den | Betty Walton",2025-12-15,Y,2026-06-15,397,1,397.00,Yes,Tier 2
"Lisa's Luna Pizza",2025-12-15,Y,2026-07-30,313,1,313.00,Yes,Tier 3
"Troup's Pizza LLC",2025-12-12,Y,2026-07-30,860,1,860.00,Yes,Tier 1
"Mozzarella di Bufala",2025-12-10,Y,2027-01-08,619,1,619.00,Yes,Tier 1
"D'Al's Pizza | Greenville",2025-11-19,Y,2026-04-22,1108,,,Yes,Tier 1
"Fox's Pizza Den | Jay Patel",2025-11-06,N,,132,1,132.00,Yes,Tier 3
"Angelo's Pizza and Pasta",2025-11-04,N,,817,,,Yes,Tier 1
"Big City Pizza",2025-11-03,Y,2026-07-22,2976.74,,,Yes,Tier 1
"Napoli's Pizza Kitchen",2025-10-31,Y,2026-05-19,467,,,Yes,Tier 2
"Hungry Howie's Orange City | Khoury Pizza LLC",2025-10-30,N,,190,1,190.00,Yes,Tier 3
"East of Chicago Pizza (Brunswick)",2025-10-27,N,,448,1,448.00,Yes,Tier 2
"Zubs Subs",2025-10-24,Y,2026-04-16,329,1,329.00,No,Tier 3
"Russo's | Greatwood",2025-10-22,N,,465,,,Yes,Tier 2
"Antonio’s Pizza (5)*",2025-10-22,N,,99,5,19.80,No,Tier 3
"Fox's Pizza Den | Hiram & Heather Jude",2025-10-16,N,,268.65,,,Yes,Tier 3
"Bella's Pizzeria",2025-10-16,N,,161.15,,,,Tier 3
"Jamestown Hospitality Group (Giordano's )",2025-10-16,Y,2027-01-16,264.76,,,Yes,Tier 3
"Oasis Diner",2025-10-14,Y,2026-09-25,354.71,,,Yes,Tier 2
"Fox's Pizza Den | Frank Mascara",2025-10-14,N,,167,1,167.00,Yes,Tier 3
"622 North",2025-10-09,N,,254,,,Yes,Tier 3
